variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
P2_aod_only,P2_aod_only_xgboost,3,42,test,13539,269,1.273138375083532,2.72575446289492,1.6844503483018385,0.9711838566889844
P2_aod_only,P2_aod_only_xgboost,3,2025,test,13539,269,1.2630222947652037,2.7230963269920263,1.6740229868980887,0.9712400318710355
P2_aod_only,P2_aod_only_xgboost,3,20260623,test,13539,269,1.282917621643636,2.737636492410821,1.6963243709813485,0.9709320801276068
P2_aod_only,P2_aod_only_xgboost,3,20260715,test,13539,269,1.289694625550571,2.7584531603109936,1.710673048549054,0.9704883413182078
P2_aod_only,P2_aod_only_xgboost,3,20260718,test,13539,269,1.2936423361640412,2.735373894767537,1.7062314197161403,0.9709801082926655
P2_aod_only,P2_aod_only_xgboost,6,42,test,13387,266,1.3730361205571406,2.854682674459262,1.8242692688615554,0.9683463450889189
P2_aod_only,P2_aod_only_xgboost,6,2025,test,13387,266,1.3859561998528735,2.852939952496653,1.8334278127564891,0.9683849810340183
P2_aod_only,P2_aod_only_xgboost,6,20260623,test,13387,266,1.3726445152537468,2.8630200991895736,1.8255672615655982,0.9681611789006574
P2_aod_only,P2_aod_only_xgboost,6,20260715,test,13387,266,1.3978640478376416,2.8716545783972065,1.8503304929951498,0.9679688462049065
P2_aod_only,P2_aod_only_xgboost,6,20260718,test,13387,266,1.3639594233673333,2.843741041573893,1.8080755702106754,0.9685885288742276
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,42,test,13641,271,1.0468343551617472,2.465890506413325,1.3704802191274192,0.976481653068216
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,2025,test,13641,271,1.0308200195504897,2.4578024953797644,1.353321454488662,0.9766356783162247
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,20260623,test,13641,271,1.0466054833931875,2.465215284533235,1.3712165525143674,0.9764945311162948
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,20260715,test,13641,271,1.0364488180392772,2.4616134297251464,1.3589108072489582,0.9765631672610612
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,20260718,test,13641,271,1.0469203403565093,2.47080732325195,1.3687659979546827,0.9763877716177224
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,42,test,13539,269,1.291035837457613,2.746722734340008,1.7051569581600576,0.9707388065075189
