panel,horizon,row_order,row_label,scenario,scenario_label,reliability_group,reliability_definition,column_order,experiment,configuration,sample_count_mean,baseline_sample_count,MAE_traffic_only,MAE_mean,delta_MAE,delta_convention,seed_count,common_vmin,common_vcenter,common_vmax
(b)  3-h forecast,3,11,Compound — Low,S8_rain_elevated_atmospheric_pollution,Compound,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,867.0,867.0,2.0386260528740445,1.9691867982364992,-0.0694392546375453,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,11,Compound — Low,S8_rain_elevated_atmospheric_pollution,Compound,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,867.0,867.0,2.0386260528740445,1.98343661057862,-0.05518944229542444,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(b)  3-h forecast,3,11,Compound — Low,S8_rain_elevated_atmospheric_pollution,Compound,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,867.0,867.0,2.0386260528740445,2.08280720811585,0.04418115524180566,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,0,E3_meteorology,Meteorology,2442.0,2442.0,0.7908559062394359,0.9213992172728592,0.13054331103342331,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2442.0,2442.0,0.7908559062394359,1.1354259141051897,0.34457000786575376,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,2442.0,2442.0,0.7908559062394359,1.0642121477723283,0.2733562415328924,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,686.0,686.0,0.8414963109616055,0.9161367814904632,0.0746404705288577,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,686.0,686.0,0.8414963109616055,0.9962612567304754,0.1547649457688699,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,686.0,686.0,0.8414963109616055,0.9667389208883538,0.1252426099267483,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,1995.0,1995.0,1.5405889872182084,1.6098997424897696,0.06931075527156128,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
