variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,20260718,test,13387,266,1.279608795826352,2.78950947391145,1.7225186140079434,0.9697751700353845,1.212974663518796,0.0666341323075561,5.49344799290802
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,42,test,13641,271,1.0671483835947846,2.495769193884454,1.3969103922185124,0.975908266248775,0.9980668375849404,0.06908154600984417,6.921535052402239
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,2025,test,13641,271,1.0678993038105435,2.4967964811363506,1.3979101913150762,0.9758884292986816,0.9971901876580412,0.0707091161525023,7.090835532444091
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,20260623,test,13641,271,1.0633622301419225,2.49583825291049,1.391943124406025,0.9759069329726926,1.0032477383948817,0.060114491747040866,5.991988762737644
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,20260715,test,13641,271,1.0806568071272,2.500630824613958,1.4131511089025546,0.9758143159024978,1.0009857405928273,0.07967106653437273,7.959260886892159
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,20260718,test,13641,271,1.0649946606841147,2.4833605091414905,1.3910008741216806,0.9761472335098049,0.9977285930774394,0.0672660676066753,6.7419204053475905
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,42,test,13539,269,1.2345535634272318,2.74565756887249,1.6629317446873664,0.9707614967987932,1.178476248725019,0.056077314702212666,4.758459473653552
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,2025,test,13539,269,1.2120150965748773,2.7307641554898776,1.636143302594673,0.9710778363690169,1.1733298926467683,0.038685203928108924,3.2970440939541565
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,20260623,test,13539,269,1.225860893669704,2.7329688545889077,1.6477496798568962,0.9710311165463857,1.1734359243629475,0.05242496930675644,4.4676465257545015
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,20260715,test,13539,269,1.2289634445186295,2.731713521246214,1.654395781102276,0.9710577229625843,1.1768088351301655,0.052154609388463946,4.431867592385571
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,20260718,test,13539,269,1.2306178460484034,2.7440976371189527,1.65934251658111,0.9707947107825899,1.173111668990652,0.057506177057751406,4.902020717876743
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,42,test,13387,266,1.2914015065572617,2.811457660975575,1.7401949864073136,0.9692976738985959,1.2211762180918702,0.07022528846539156,5.750626930413121
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,2025,test,13387,266,1.2778487947552846,2.7715806792806967,1.7184152138149584,0.9701624448128626,1.2105098615797245,0.06733893317556006,5.562857049977456
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,20260623,test,13387,266,1.2706369192719396,2.7691872862454585,1.7111518160126404,0.9702139548865406,1.2210236967858117,0.04961322248612787,4.063248126693062
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,20260715,test,13387,266,1.2760689552827458,2.7925964964561185,1.7208000949947277,0.9697082361458086,1.2172144128169635,0.058854542465782256,4.835182844210407
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,20260718,test,13387,266,1.2859944937105139,2.7955746238159227,1.729013269121613,0.9696435931987102,1.212974663518796,0.07301983019171798,6.019897396693356
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,42,test,13641,271,1.1050484331146502,2.513111318467248,1.4372016172913873,0.9755722949417945,0.9980668375849404,0.10698159552970976,10.718880890640262
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,2025,test,13641,271,1.0942617260850167,2.5029084818721157,1.4255460286475665,0.9757702375957127,0.9971901876580412,0.09707153842697547,9.734505977736664
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,20260623,test,13641,271,1.1008155118969618,2.5002880806472496,1.4322802037499316,0.9758209453730553,1.0032477383948817,0.09756777350208012,9.725192469228086
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,20260715,test,13641,271,1.1202413328668692,2.5262228549461496,1.4552526033687834,0.975316739012526,1.0009857405928273,0.11925559227404192,11.913815296051428
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,20260718,test,13641,271,1.0947140031664544,2.504466253873755,1.4265641110947886,0.9757400677420913,0.9977285930774394,0.09698541008901496,9.720620493582203
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,42,test,13539,269,1.2617709947570988,2.7516075976458394,1.6834492796844132,0.9706346357949169,1.178476248725019,0.08329474603207965,7.06800379915975
