model,horizon,seed,scenario,feature_group,repetition,sample_count,encoded_columns_permuted,baseline_MAE,permuted_MAE,delta_MAE,importance_convention
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,7,8149,28,1.1130980492223332,1.179249329394727,0.0661512801723938,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,8,8149,28,1.1130980492223332,1.1876354854014353,0.07453743617910202,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,9,8149,28,1.1130980492223332,1.1840502172022183,0.07095216797988502,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Atmospheric,10,8149,28,1.1130980492223332,1.1902889173221123,0.07719086809977904,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,1,8149,16,1.1130980492223332,1.29527835987163,0.18218031064929674,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,2,8149,16,1.1130980492223332,1.290571393509089,0.17747334428675576,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,3,8149,16,1.1130980492223332,1.3004773872598,0.18737933803746687,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,4,8149,16,1.1130980492223332,1.294297858716598,0.18119980949426484,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,5,8149,16,1.1130980492223332,1.2983892691005212,0.18529121987818797,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,6,8149,16,1.1130980492223332,1.294446132583609,0.18134808336127572,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,7,8149,16,1.1130980492223332,1.2951995859283822,0.182101536706049,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,8,8149,16,1.1130980492223332,1.2988503763552517,0.18575232713291845,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,9,8149,16,1.1130980492223332,1.30326716538933,0.19016911616699672,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Rain,Road,10,8149,16,1.1130980492223332,1.3020933005738298,0.18899525135149653,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,1,3548,60,1.2256275800599588,15.902185342509869,14.67655776244991,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,2,3548,60,1.2256275800599588,15.992521693786253,14.766894113726295,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,3,3548,60,1.2256275800599588,15.911406608776506,14.685779028716548,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,4,3548,60,1.2256275800599588,16.162858002528978,14.93723042246902,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,5,3548,60,1.2256275800599588,15.825720342860459,14.6000927628005,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,6,3548,60,1.2256275800599588,15.882442557296551,14.656814977236593,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,7,3548,60,1.2256275800599588,15.915340098811468,14.68971251875151,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,8,3548,60,1.2256275800599588,15.71984332069245,14.494215740632491,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,9,3548,60,1.2256275800599588,15.940179764404641,14.714552184344683,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Traffic,10,3548,60,1.2256275800599588,15.855265580098102,14.629638000038144,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,1,3548,8,1.2256275800599588,1.3091376573060158,0.08351007724605708,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,2,3548,8,1.2256275800599588,1.3128529636450434,0.08722538358508469,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,3,3548,8,1.2256275800599588,1.3092733057044317,0.08364572564447292,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,4,3548,8,1.2256275800599588,1.3039265831535536,0.07829900309359483,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,5,3548,8,1.2256275800599588,1.3145916599386933,0.08896407987873456,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,6,3548,8,1.2256275800599588,1.307879293686194,0.08225171362623529,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,7,3548,8,1.2256275800599588,1.3099833155520557,0.08435573549209696,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,8,3548,8,1.2256275800599588,1.3179868799185939,0.09235929985863511,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,9,3548,8,1.2256275800599588,1.3038506676674966,0.07822308760753782,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Reliability,10,3548,8,1.2256275800599588,1.3103920436631193,0.08476446360316059,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,1,3548,9,1.2256275800599588,1.8692079289610877,0.6435803489011289,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,2,3548,9,1.2256275800599588,1.8125406637267034,0.5869130836667447,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,3,3548,9,1.2256275800599588,1.8609293283622366,0.6353017483022778,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,4,3548,9,1.2256275800599588,1.8507734948107732,0.6251459147508145,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,5,3548,9,1.2256275800599588,1.8694322510081007,0.643804670948142,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,6,3548,9,1.2256275800599588,1.8614105307755726,0.6357829507156139,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,7,3548,9,1.2256275800599588,1.817254542193436,0.5916269621334773,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,8,3548,9,1.2256275800599588,1.895477659260586,0.6698500792006272,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,9,3548,9,1.2256275800599588,1.8783303954286799,0.6527028153687211,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Calendar,10,3548,9,1.2256275800599588,1.8643657850618873,0.6387382050019286,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,1,3548,15,1.2256275800599588,1.2333011989887384,0.007673618928779602,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,2,3548,15,1.2256275800599588,1.229446617421778,0.003819037361819211,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,3,3548,15,1.2256275800599588,1.2367142436111034,0.011086663551144627,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,4,3548,15,1.2256275800599588,1.229150754390288,0.0035231743303292262,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,5,3548,15,1.2256275800599588,1.2260823062379214,0.0004547261779626055,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,6,3548,15,1.2256275800599588,1.2316466136159685,0.006019033556009745,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,7,3548,15,1.2256275800599588,1.2270533163535866,0.001425736293627855,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,8,3548,15,1.2256275800599588,1.2281448043140868,0.0025172242541280365,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,9,3548,15,1.2256275800599588,1.2295472949664872,0.0039197149065284265,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Rainfall,10,3548,15,1.2256275800599588,1.2250696572895472,-0.0005579227704115564,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Meteorology,1,3548,15,1.2256275800599588,1.2771660130617988,0.05153843300184002,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Meteorology,2,3548,15,1.2256275800599588,1.280566205695266,0.05493862563530727,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Meteorology,3,3548,15,1.2256275800599588,1.2795578744795841,0.05393029441962538,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Meteorology,4,3548,15,1.2256275800599588,1.2817218453666404,0.0560942653066816,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Elevated_AOD,Meteorology,5,3548,15,1.2256275800599588,1.2804455237834806,0.05481794372352189,positive delta means the group was useful
