variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent,full_fusion_MAE,delta_MAE_vs_full
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,2025,test,13641,271,1.1111806842986751,2.511912425854207,1.4432117211343423,0.975595596105868,0.9971901876580412,0.11399049664063388,11.431169104095092,1.1563395121887399,-0.04515882789006476
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,20260623,test,13641,271,1.1190646364504595,2.517511270248253,1.4545387473332256,0.9754866840799619,1.0032477383948817,0.11581689805557782,11.544197272836703,1.1619693847735297,-0.04290474832307023
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,20260715,test,13641,271,1.1140197662554117,2.5089930262501836,1.4451355514507898,0.9756522898061589,1.0009857405928273,0.11303402566258436,11.292271316036999,1.1645033523040913,-0.05048358604867964
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,1,20260718,test,13641,271,1.1264762675206081,2.5218503059292643,1.4614406492470942,0.9754021118158996,0.9977285930774394,0.1287476744431687,12.90407785608845,1.1637247967632058,-0.037248529242597694
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,42,test,13539,269,1.344475913156384,2.7882950337199373,1.7811870290066547,0.969846353294961,1.178476248725019,0.16599966443136482,14.085957575382457,1.4073290782931942,-0.06285316513681027
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,2025,test,13539,269,1.3495385877355344,2.7933135275927956,1.785794794924312,0.969737711941847,1.1733298926467683,0.17620869508876602,15.017830551583309,1.421765662269208,-0.07222707453367372
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,20260623,test,13539,269,1.336771099269867,2.7753283075840116,1.7689162906111267,0.9701261550605174,1.1734359243629475,0.1633351749069194,13.91939444802606,1.4244715538206165,-0.0877004545507496
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,20260715,test,13539,269,1.3430535258402028,2.7846101749194063,1.7743298054782544,0.9699259994653623,1.1768088351301655,0.16624469071003722,14.126737134128422,1.3944295520887193,-0.05137602624851656
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,3,20260718,test,13539,269,1.3535613987750301,2.8057115293529287,1.7912445390532636,0.9694684800540262,1.173111668990652,0.18044972978437812,15.38214430512293,1.3932205844477834,-0.03965918567275328
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,42,test,13387,266,1.4269072019188014,2.9000613966258815,1.8771628893174341,0.9673319982938983,1.2211762180918702,0.20573098382693122,16.846953026025428,1.4872926561722186,-0.06038545425341724
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,2025,test,13387,266,1.4133713722015286,2.8779272849533757,1.8544431811058266,0.9678287586942308,1.2105098615797245,0.20286151062180413,16.75835258021511,1.4755648972138546,-0.062193525012326
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,20260623,test,13387,266,1.4210549111937487,2.8856545910505584,1.8690526839698054,0.9676557655995198,1.2210236967858117,0.20003121440793703,16.38225490090762,1.5095473863033626,-0.08849247510961389
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,20260715,test,13387,266,1.431300479270278,2.9060803810201503,1.8830855939165483,0.9671962547951967,1.2172144128169635,0.2140860664533144,17.588196804034002,1.5238901376670817,-0.09258965839680378
A3_without_atmospheric_context,A3_without_atmospheric_context_xgboost,6,20260718,test,13387,266,1.4239462836924215,2.905659809833048,1.8735375001657621,0.9672057488971793,1.212974663518796,0.21097162017362558,17.392912359900784,1.5038806275368473,-0.07993434384442577
A4_without_environmental_lag_rolling,A4_without_environmental_lag_rolling_xgboost,1,42,test,13641,271,1.0764976303286646,2.49095048907579,1.4073850929182192,0.9760012066394911,0.9980668375849404,0.07843079274372422,7.858270587719971,1.194628900955305,-0.11813127062664042
