scenario,experiment,model,horizon,seed,sample_count,unique_hours,unique_dates,independent_events,MAE,RMSE,sMAPE,R2
S8_rain_elevated_atmospheric_pollution,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,1917,95,12,16,0.9023804046572488,2.3704326377901315,1.350124433785309,0.9821232332957585
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,1917,95,12,16,1.0195677116339652,2.3786892468505063,1.4691374529470294,0.9819984809347251
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,1917,95,12,16,1.0497485762284209,2.427246426650063,1.5013082707197598,0.9812560344681479
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,1917,95,12,16,1.0411513191744506,2.3902069820224363,1.491180882134471,0.9818237303260922
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,1917,95,12,16,1.0241636099472935,2.3896228333745784,1.4716482833177926,0.9818326135282557
S8_rain_elevated_atmospheric_pollution,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,1917,95,12,16,1.0554223397735347,2.40654497087317,1.5054213813017954,0.9815743974236748
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,1,42,1917,95,12,16,1.0259528090945123,2.3658008543082647,1.4814505876598425,0.9821930268138364
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,1,2025,1917,95,12,16,0.9934932018234262,2.3681917610619285,1.452202951577347,0.9821570167450397
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,1917,95,12,16,1.0260220294992854,2.3700836552688336,1.4760304459788205,0.9821284966555172
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,1917,95,12,16,1.0019188903638787,2.354998104454727,1.4541860634054484,0.9823552763865586
S8_rain_elevated_atmospheric_pollution,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,1917,95,12,16,1.034447290204625,2.3676959726768514,1.488102774000517,0.9821644869322039
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,42,5322,165,13,17,1.1748320361030709,2.705379437992251,1.6224739306577787,0.9721570331030476
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,2025,5322,165,13,17,1.1793008244516974,2.7062817281600466,1.6329632544233696,0.9721384577976387
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,5322,165,13,17,1.172475420973227,2.714581943373307,1.6230140048691086,0.9719672920033016
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,5322,165,13,17,1.1753141497096276,2.686230245540956,1.6250574469098076,0.9725497938251383
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,5322,165,13,17,1.1767196164518823,2.6850308529807116,1.625405886594972,0.9725743011978677
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,42,5322,165,13,17,1.219193557926576,2.675856886242217,1.6653347051266643,0.9727613922491652
