test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,8235,1.3817452018411986,2.9303354420809584,1.833486067815713,0.9665833635657008
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,42,8035,0.9639356352436768,2.3322689047855016,1.306869445267548,0.9798596981819793
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,8035,0.9673449589923763,2.328033791698111,1.3086939922739977,0.9799327763863915
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,8035,0.9735364884267925,2.344349887731433,1.3194376900717604,0.9796505071934556
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,8035,0.9677265375972511,2.326268682625292,1.3114407373341221,0.9799631946823801
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,8035,0.966164038863278,2.329930159196917,1.310574285624307,0.9799000703920703
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,42,8127,1.3019228635186915,2.8660233168527,1.7357165343372263,0.9692613038534205
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,8127,1.2989954332943345,2.859218357448526,1.7268873567222873,0.9694070997717924
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,8127,1.2956951052643533,2.8608358161822975,1.7290795079244345,0.9693724771976024
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,8127,1.3042737991247266,2.862743438832296,1.739346032630329,0.969331618344253
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,8127,1.3070953625425197,2.8599109920752035,1.742010940478185,0.9693922759521739
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,42,8235,1.518401301711514,3.0330915231838356,1.981362479440138,0.9641986759541437
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,8235,1.4967683171926782,3.0039415992781824,1.9573289483676999,0.9648835158332999
